Event Name,Image URL,Start Date,Start Time,Genre,Subgenre,Venue,City,Address
Clara Luciani,https://s1.ticketm.net/dam/a/197/cbfc3642-2bb0-4e68-be3e-3da06b127197_TABLET_LANDSCAPE_3_2.jpg,2025-03-14,20:00:00,Rock,Pop,Rockhal Main Hall,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
Franglish,https://s1.ticketm.net/dam/a/38d/f78e2560-d577-43d7-aedf-9a0554fef38d_RETINA_LANDSCAPE_16_9.jpg,2025-03-15,20:30:00,Chanson Francaise,Chanson Francaise,Rockhal Club,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
Dirty Loops,https://s1.ticketm.net/dam/a/107/63233180-27eb-467e-9e85-b8f36fe3f107_TABLET_LANDSCAPE_LARGE_16_9.jpg,2025-03-17,20:00:00,Rock,Pop,Rockhal Club,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
Avantasia - Here Be Dragons Tour 2025,https://s1.ticketm.net/dam/a/27f/1c5607fa-c7cb-4ee4-9010-ee148bac227f_RETINA_PORTRAIT_16_9.jpg,2025-03-18,19:30:00,Rock,Hard Rock,Rockhal Box,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
Pineapple Thief,https://s1.ticketm.net/dam/a/77d/77e029a2-ce50-410e-9819-7eb50472a77d_RECOMENDATION_16_9.jpg,2025-03-20,20:30:00,Metal,Metal,Rockhal Club,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
Alec Benjamin - 12 Notes Tour,https://s1.ticketm.net/dam/a/5af/9752f6bb-2473-43a0-a17c-2bb4b7ac25af_EVENT_DETAIL_PAGE_16_9.jpg,2025-03-22,20:30:00,Rock,Pop,Rockhal Club,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
Heilung,https://s1.ticketm.net/dam/a/095/84db7786-809d-4465-ac10-c5d74ab76095_RETINA_PORTRAIT_3_2.jpg,2025-03-23,20:00:00,Alternative,Alternative Rock,Rockhal Main Hall,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
Rendezvous Point & Temic,https://s1.ticketm.net/dam/a/27e/6c6edd39-611c-4ada-8f4e-c3189cefb27e_RETINA_LANDSCAPE_16_9.jpg,2025-03-26,19:30:00,Rock,Hard Rock,Rockhal Club,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
Polo & Pan,https://s1.ticketm.net/dam/a/329/77c321b3-1ccd-42e7-9f0d-fab905f08329_CUSTOM.jpg,2025-03-27,20:30:00,Dance/Electronic,Club Dance,Rockhal Club,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
Kaaris,https://s1.ticketm.net/dam/a/9b3/e4464ef0-614e-405d-83bd-508e68eaa9b3_RETINA_LANDSCAPE_16_9.jpg,2025-03-29,20:00:00,Hip-Hop/Rap,Hip-Hop/Rap,Rockhal Main Hall,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
Sungazer,https://s1.ticketm.net/dam/a/269/793063b3-000e-44e3-82b4-e521f2a26269_RETINA_PORTRAIT_16_9.jpg,2025-03-31,20:30:00,Blues,Jazz Blues,Rockhal Club,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
Maluma + PRETTY + DIRTY,https://s1.ticketm.net/dam/a/bfd/0321420b-c98c-40f7-a2a4-41c58f2d4bfd_TABLET_LANDSCAPE_3_2.jpg,2025-04-01,20:00:00,Hip-Hop/Rap,Hip-Hop/Rap,Rockhal Main Hall,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
"Catch your breath ""The Savages tour 2025""",https://s1.ticketm.net/dam/a/883/40b1772b-6499-4daf-836f-51755a60b883_TABLET_LANDSCAPE_LARGE_16_9.jpg,2025-04-03,19:30:00,Alternative,Alternative Rock,Rockhal Club,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
Klangphonics,https://s1.ticketm.net/dam/a/026/600b1686-97bf-4bdf-b52f-273846984026_RETINA_PORTRAIT_3_2.jpg,2025-04-05,20:30:00,Dance/Electronic,Dance/Electronic,Rockhal Club,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
"Ahmed Sylla ""Origami""",https://s1.ticketm.net/dam/a/ddb/18f01974-8941-493b-873f-fcac7978eddb_TABLET_LANDSCAPE_3_2.jpg,2025-04-06,17:30:00,Comedy,Comedy,Rockhal Main Hall,Esch-sur-Alzette,"Avenue du Rock'n'Roll, 5"
